"~id","~labels","latex_sample","created","name","source","paragraph_samples","pos","type","latex","hash","abs_pos"
"4:5380d574-a61c-450b-9d80-55fd2be49de1:0","Variable","x_i","2025-11-30T08:15:24.654000000Z","x_i","tex_extractor","['We assume a supervised learning setting. Let the dataset be denoted by $\mathcal{D}$','consisting of $N$ pairs of inputs and targets. Specifically','we let $x_i$ represent the input feature vector for the $i$-th sample','and $y_i$ represent the corresponding label.']",,,,,
"4:5380d574-a61c-450b-9d80-55fd2be49de1:44","Equation",,"2025-11-30T08:15:31.161000000Z",,"tex_extractor",,3206,"inline_fragment","\ell(x_i, y_i; \theta)","85fe9e97f073eeffcce286a5a2484571ce6f2494",4020
"4:5380d574-a61c-450b-9d80-55fd2be49de1:5","Variable","\theta","2025-11-30T08:15:25.232000000Z","\theta","tex_extractor","['To prevent overfitting','it is common to add a penalty term to the objective function. Let $\lambda$ denote the regularization coefficient','a non-negative hyperparameter. We typically use the $L_2$ norm of the weight vector $\theta$. The regularized objective function becomes:','In Batch Gradient Descent','we compute the gradient over the entire dataset $\mathcal{D}$ defined in Section 2. The update rule for the weight vector $\theta$ at iteration $t$ is:','Building on the stochastic gradient $g_t$ defined in Equation (\ref{eq:stochastic_grad}) and the parameters $\theta$ and $\eta$ from Section 3','the momentum update involves two steps. First','we update the velocity:','While momentum adapts the step direction','it uses a global learning rate $\eta$ for all parameters in $\theta$. Adaptive methods compute individual learning rates for different parameters. The most popular method is Adam.','Finally','we update the parameters $\theta$. We introduce a small scalar $\epsilon$ to prevent division by zero. Combining the learning rate $\eta$ with the adaptive moments:']",,,,,
"4:5380d574-a61c-450b-9d80-55fd2be49de1:49","Equation",,"2025-11-30T08:15:32.340000000Z",,"tex_extractor",,8269,"inline_fragment","\mathcal{J}(\theta)","fdf38a4361746c7bf445f8aa8f570483b160f3b5",9083
"4:5380d574-a61c-450b-9d80-55fd2be49de1:48","Equation",,"2025-11-30T08:15:32.151000000Z",,"tex_extractor",,7924,"inline_equation","\mathbb{E}[g_t] = \nabla \mathcal{L}(\theta_t)","27ba3d6cc5be0c81918dc032618596f7dba82917",8738
"4:5380d574-a61c-450b-9d80-55fd2be49de1:17","Variable","g_t","2025-11-30T08:15:26.429000000Z","g_t","tex_extractor","['Let $\mathcal{B}_t$ be a random subset of indices from the dataset $\{1','\dots','N\}$ of size $B$ chosen at timestep $t$. We define the stochastic gradient estimate $g_t$ as:','The update rule for Mini-batch SGD substitutes the full gradient in Equation (\ref{eq:gd_update}) with the estimate $g_t$. Recall that $\eta$ is our learning rate. The update becomes:','Building on the stochastic gradient $g_t$ defined in Equation (\ref{eq:stochastic_grad}) and the parameters $\theta$ and $\eta$ from Section 3','the momentum update involves two steps. First','we update the velocity:','This approach dampens oscillations. If the gradient $g_t$ changes direction frequently (as in a ravine)','the terms in $v_t$ cancel out. If the direction is consistent','$v_t$ accelerates.','At iteration $t$','we compute the raw moments based on the gradient $g_t$:']",,,,,
"4:5380d574-a61c-450b-9d80-55fd2be49de1:47","Equation",,"2025-11-30T08:15:32.048000000Z",,"tex_extractor",,6820,"inline_fragment","\nabla \mathcal{L}(\theta_t)","aaf77515d8d096e1d3e5def4f7cb626b7b934c4a",7634
"4:5380d574-a61c-450b-9d80-55fd2be49de1:46","Equation",,"2025-11-30T08:15:31.749000000Z",,"tex_extractor",,3728,"inline_equation","-\nabla \mathcal{L}(\theta)","3373829644d3b668b0865dbfd0f6fa1d82cd2912",4542
"4:5380d574-a61c-450b-9d80-55fd2be49de1:45","Equation",,"2025-11-30T08:15:31.615000000Z",,"tex_extractor",,3604,"inline_fragment","\nabla \mathcal{L}(\theta)","e703e0e323865e4194c013fb99ea6c750b83cdb1",4418
"4:5380d574-a61c-450b-9d80-55fd2be49de1:43","Equation",,"2025-11-30T08:15:31.014000000Z",,"tex_extractor",,3141,"inline_fragment","\mathcal{L}(\theta)","151d0c9f50bb83e110c61e00ebc661ee3bad9446",3955
